URL,Category
https://www.ikea.com/gb/en/products/small-storage-organisers/wall-storage/,Wall Storage
https://www.ikea.com/gb/en/products/small-storage-organisers/paper-media-organisers/,Paper & media organisers
https://www.ikea.com/gb/en/products/small-storage-organisers/cable-management-accessories/,Cable management & accessories
https://www.ikea.com/gb/en/products/cookware/food-storage-organising/,Food storage & organising
https://www.ikea.com/gb/en/products/kitchen-products/kitchen-organisers-shelves/,Kitchen organisers
https://www.ikea.com/gb/en/products/small-storage-organisers/bathroom-accessories/,Bathroom accessories
https://www.ikea.com/gb/en/products/small-storage-organisers/bathroom-hooks-and-hangers/,Bathroom hooks & hangers
https://www.ikea.com/gb/en/products/small-storage-organisers/waste-sorting-bins/,Waste sorting bins
https://www.ikea.com/gb/en/products/laundry-cleaning-products/laundry-baskets/,Laundry baskets
https://www.ikea.com/gb/en/products/kitchen-products/appliances/,Appliances
https://www.ikea.com/gb/en/products/smart-home-appliances/speakers/,Speakers
https://www.ikea.com/gb/en/products/smart-home-appliances/mobile-tablet-chargers/,Mobile & tablet chargers
https://www.ikea.com/gb/en/products/smart-home-appliances/cables-chargers/,Cables & chargers
https://www.ikea.com/gb/en/products/lighting/smart-lighting/,Smart lighting
https://www.ikea.com/gb/en/products/smart-home-appliances/tools-fittings/,Tools & fittings
https://www.ikea.com/gb/en/products/sofas-armchairs/two-seat-sofas/,Two-seat sofas
https://www.ikea.com/gb/en/products/sofas-armchairs/three-seat-sofas/,Three-seat sofas
https://www.ikea.com/gb/en/products/sofas-armchairs/armchairs/,Armchairs
https://www.ikea.com/gb/en/products/sofas-armchairs/sofa-beds-chair-beds/,Sofa beds & chair beds
https://www.ikea.com/gb/en/products/sofas-armchairs/footstools-pouffes/,Footstools & pouffes
https://www.ikea.com/gb/en/products/sofas-armchairs/corner-sofas/,Corner sofas
https://www.ikea.com/gb/en/products/sofas-armchairs/modular-sofas/,Modular sofas
https://www.ikea.com/gb/en/products/sofas-armchairs/chaise-longues/,Chaise Longues
https://www.ikea.com/gb/en/products/sofas-armchairs/fabric-sofas/,Fabric sofas
https://www.ikea.com/gb/en/products/sofas-armchairs/leather-coated-fabric-sofas/,Leather & coated fabric sofas
https://www.ikea.com/gb/en/products/sofas-armchairs/sofa-legs/,Extra legs
https://www.ikea.com/gb/en/products/sofas-armchairs/outdoor-sofas/,Outdoor Sofas
https://www.ikea.com/gb/en/products/storage-furniture/chest-of-drawers/,Chest of drawers
https://www.ikea.com/gb/en/products/storage-furniture/bookcases/,Bookcases
https://www.ikea.com/gb/en/products/storage-furniture/shelving-units-systems/,Shelving units & systems
https://www.ikea.com/gb/en/products/storage-furniture/tv-media-benches/,TV Stands & Media Units
https://www.ikea.com/gb/en/products/storage-furniture/cabinets-sideboards/,Cabinets & display cabinets
https://www.ikea.com/gb/en/products/tables/sideboards-buffets-consoletables/,Sideboards & console tables
https://www.ikea.com/gb/en/products/storage-furniture/drawer-units-storage-cabinets/,Drawer units & storage cabinets
https://www.ikea.com/gb/en/products/storage-furniture/storage-systems/,Open storage system
https://www.ikea.com/gb/en/products/childrens-ikea-products/children-3-7/childrens-storage-system/,Children's storage system
https://www.ikea.com/gb/en/products/childrens-ikea-products/children-3-7/childrens-storage-furniture/,Children's storage furniture
https://www.ikea.com/gb/en/products/small-storage-organisers/shoe-cabinets/,Shoe cabinets
https://www.ikea.com/gb/en/products/storage-furniture/bathroom-storage/,Bathroom storage
https://www.ikea.com/gb/en/products/storage-furniture/wall-shelves/,Wall shelves
https://www.ikea.com/gb/en/products/storage-furniture/outdoor-organising/,Outdoor organising
https://www.ikea.com/gb/en/products/kitchen-products/kitchen-shelves/,Kitchen shelves
https://www.ikea.com/gb/en/products/wardrobes/free-standing-wardrobes/,Free standing wardrobes
https://www.ikea.com/gb/en/products/wardrobes/fitted-wardrobes/,PAX wardrobes
https://www.ikea.com/gb/en/products/storage-furniture/platsa-modular-storage-system/,PLATSA modular storage system
https://www.ikea.com/gb/en/products/tables/dining-tables/,Dining tables
https://www.ikea.com/gb/en/products/tables/cafe-bar-tables/,Caf© & bar tables
https://www.ikea.com/gb/en/products/tables/dining-sets/,Dining sets
https://www.ikea.com/gb/en/products/tables/outdoor-tables/,Outdoor tables
https://www.ikea.com/gb/en/products/tables/coffee-side-tables/,Coffee & side tables
https://www.ikea.com/gb/en/products/tables/bedside-tables/,Bedside tables
https://www.ikea.com/gb/en/products/tables/dressing-tables/,Dressing tables
https://www.ikea.com/gb/en/products/tables/sideboards-buffets-consoletables/,Sideboards & console tables
https://www.ikea.com/gb/en/products/childrens-ikea-products/baby/changing-tables-nursing/,Changing tables & nursing
https://www.ikea.com/gb/en/products/tableware/dinnerware/,Dinnerware
https://www.ikea.com/gb/en/products/tableware/cutlery/,Cutlery
https://www.ikea.com/gb/en/products/tableware/glasses-cups-mugs/,"Glasses, cups & mugs"
https://www.ikea.com/gb/en/products/tableware/coffee-tea-makers/,Coffee & tea makers
https://www.ikea.com/gb/en/products/tableware/serveware/,Serveware
https://www.ikea.com/gb/en/products/tableware/napkins-napkinholders/,Napkins & napkinholders
https://www.ikea.com/gb/en/products/tableware/jugs-carafes/,Jugs & carafes
https://www.ikea.com/gb/en/products/textiles-rugs/table-linen/,Table linen
https://www.ikea.com/gb/en/products/childrens-ikea-products/children-3-7/childrens-tableware/,Children's tableware
https://www.ikea.com/gb/en/products/childrens-ikea-products/baby/babies-tableware/,Babies tableware
https://www.ikea.com/gb/en/products/textiles-rugs/rugs/,Rugs
